Series,Series Code,Country Name,Country Code,2003 [YR2003],2006 [YR2006],2015 [YR2015]
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Arab World,ARB,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Caribbean small states,CSS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Central Europe and the Baltics,CEB,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Early-demographic dividend,EAR,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,East Asia & Pacific,EAS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,East Asia & Pacific (excluding high income),EAP,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Euro area,EMU,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Europe & Central Asia,ECS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Europe & Central Asia (excluding high income),ECA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,European Union,EUU,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Fragile and conflict affected situations,FCS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Heavily indebted poor countries (HIPC),HPC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,High income,HIC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,IBRD only,IBD,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,IDA & IBRD total,IBT,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,IDA blend,IDB,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,IDA only,IDX,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,IDA total,IDA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Late-demographic dividend,LTE,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Latin America & Caribbean,LCN,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Latin America & Caribbean (excluding high income),LAC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Least developed countries: UN classification,LDC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Low & middle income,LMY,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Low income,LIC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Lower middle income,LMC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Middle East & North Africa,MEA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Middle East & North Africa (excluding high income),MNA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Middle income,MIC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,North America,NAC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Not classified,INX,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,OECD members,OED,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Other small states,OSS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Pacific island small states,PSS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Post-demographic dividend,PST,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Pre-demographic dividend,PRE,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Small states,SST,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,South Asia,SAS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,South Asia (IDA & IBRD),TSA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Sub-Saharan Africa,SSF,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Sub-Saharan Africa (excluding high income),SSA,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Upper middle income,UMC,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,World,WLD,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Afghanistan,AFG,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Albania,ALB,..,..,413.157
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Algeria,DZA,..,..,359.6062
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,American Samoa,ASM,..,..,..
PISA: Mean performance on the mathematics scale,LO.PISA.MAT,Andorra,AND,..,..,..
